사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
44409,2호선,55,신답,11,3,988,145,1681,506,5269,761,8271,1398,3505,844,1889,897,1796,1104,1647,1279,1645,1346,1578,1548,1346,2147,1371,2798,1492,3879,1735,9010,820,6154,489,2947,465,2764,351,2224,77,921,0,4,0,0,0,0,0,0
44409,2호선,56,신설동,24,1,1094,230,1082,2005,3015,4816,5220,10572,3392,6621,3466,5401,4287,5959,5175,5743,5738,5443,6069,4954,6612,4647,6918,3899,9356,4152,9437,4977,3664,3312,2281,2077,1827,1815,1249,1467,296,720,2,98,0,1,0,0,0,0
44409,2호선,57,도림천,3,0,260,338,1105,793,2723,3156,2757,5135,1834,1863,1799,1362,1403,1096,2217,1640,1447,1149,1927,1503,1800,1255,2351,1657,2503,2087,3429,2561,1798,2142,738,1306,637,1240,314,994,133,464,0,20,0,1,0,1,0,0
44409,2호선,58,양천구청,40,0,4223,839,9645,1893,25756,4598,23702,8326,12957,4098,8843,3864,7889,4482,8681,5637,7508,5964,6210,6304,5969,7823,6386,9888,6800,14796,7229,25909,3382,22350,2160,11573,1915,10617,1861,8718,334,3724,3,259,0,0,1,0,0,0
44409,2호선,59,신정네거리,42,2,7865,780,14480,3085,39788,4938,36112,10751,19840,7550,14386,6871,12624,7823,13001,8989,11977,10113,10279,10655,9801,13567,10185,16246,10565,23614,10133,41913,6110,32205,4670,16741,3621,14568,2640,12706,538,5211,4,322,0,0,0,0,0,0
44409,2호선,60,용두(동대문구청),30,0,1244,187,1593,854,4312,2359,7031,5813,3930,2941,3169,2872,3434,2980,3423,2632,3432,3045,3249,3199,3475,3724,3501,3684,3953,3982,5165,6804,2016,4785,1261,2474,1254,2439,526,1701,109,676,0,13,0,0,0,0,0,0
44409,3호선,61,지축,10,1,1702,1101,6548,5409,16708,3447,16357,3398,7873,2791,5789,2420,4928,3244,5025,3424,4821,3356,4384,3627,5205,4361,7232,5946,5826,7480,4157,15750,2234,12629,1363,7522,876,6813,795,5864,239,1639,0,0,0,0,0,0,0,0
44409,3호선,62,구파발,194,4,8980,1597,24785,9829,69553,19756,63494,26116,35026,24102,24498,22569,24520,20559,25813,21485,23111,22813,22978,23414,26476,23210,29221,26479,30380,34332,26856,60554,16141,50367,13391,28093,12356,22977,6591,19726,1058,9514,8,1241,0,7,0,0,0,0
44409,3호선,63,연신내,258,12,25123,1571,45977,9653,110377,18696,132615,31227,76090,32885,50832,31869,47505,34566,49222,35172,45581,38986,42225,39592,42080,48048,45198,56068,45039,72239,43294,120138,28474,103283,22180,57122,21420,51825,14043,43528,2319,18830,2,842,1,3,0,0,0,0
44409,3호선,64,불광,33,1,8452,1075,17338,5393,42217,9796,51414,29712,28780,26624,21859,21563,20775,20794,21543,20940,21376,21498,20206,21500,20947,24569,21170,26798,23894,32763,27038,50489,14412,40513,10877,23153,9234,19212,5222,15852,942,6711,0,139,0,0,0,0,0,0
