"행정구역","2021년08월_계_총인구수","2021년08월_계_연령구간인구수","2021년08월_계_0~9세","2021년08월_계_10~19세","2021년08월_계_20~29세","2021년08월_계_30~39세","2021년08월_계_40~49세","2021년08월_계_50~59세","2021년08월_계_60~69세","2021년08월_계_70~79세","2021년08월_계_80~89세","2021년08월_계_90~99세","2021년08월_계_100세 이상"
"서울특별시 중랑구 상봉제1동(1126058000)","24,400","24,400","1,759","1,897","3,496","3,614","3,499","4,231","3,536","1,583","690","93","2"
"서울특별시 중랑구 상봉제2동(1126059000)","20,357","20,357","766","750","4,300","4,388","2,594","3,086","2,549","1,357","489","67","11"
"서울특별시 중랑구 중화제1동(1126060000)","19,869","19,869","1,176","1,301","2,815","3,144","2,779","3,268","3,155","1,589","577","63","2"
"서울특별시 중랑구 중화제2동(1126061000)","25,116","25,116","1,037","1,139","3,672","3,671","3,380","4,771","4,255","2,175","922","88","6"
"서울특별시 중랑구 묵제1동(1126062000)","34,761","34,761","2,231","3,056","4,905","4,754","5,656","5,514","4,860","2,589","1,056","126","14"
"서울특별시 중랑구 묵제2동(1126063000)","18,971","18,971","991","1,168","2,659","2,963","2,792","3,198","3,003","1,539","589","66","3"
"서울특별시 중랑구 망우본동(1126065500)","30,675","30,675","1,599","1,887","4,159","4,199","4,140","5,593","5,272","2,629","1,034","156","7"
"서울특별시 중랑구 망우제3동(1126066000)","16,506","16,506","703","1,080","2,253","2,027","2,259","3,203","2,847","1,460","579","92","3"
"서울특별시 중랑구 신내1동(1126068000)","38,602","38,602","3,065","3,724","4,779","4,724","5,830","6,389","5,751","2,831","1,284","215","10"
"서울특별시 중랑구 신내2동(1126069000)","20,691","20,691","1,264","1,653","2,464","2,852","3,068","3,478","3,371","1,625","803","109","4"
"서울특별시 성북구 (1129000000)","432,815","432,815","28,048","36,466","66,073","58,980","68,197","69,039","56,540","32,655","14,721","1,988","108"
"서울특별시 성북구 성북동(1129052500)","16,668","16,668","753","1,155","2,769","2,470","2,516","2,753","2,098","1,289","711","135","19"
"서울특별시 성북구 삼선동(1129055500)","22,996","22,996","1,042","1,817","4,189","3,238","3,462","3,700","2,798","1,783","849","103","15"
"서울특별시 성북구 동선동(1129057500)","15,494","15,494","545","946","4,506","2,508","1,944","1,942","1,517","1,032","473","68","13"
"서울특별시 성북구 돈암제1동(1129058000)","14,800","14,800","790","1,253","1,974","1,935","2,086","2,657","2,212","1,249","574","66","4"
"서울특별시 성북구 돈암제2동(1129059000)","24,111","24,111","1,920","2,797","2,907","2,936","4,331","4,110","2,786","1,463","727","131","3"
"서울특별시 성북구 안암동(1129060000)","14,955","14,955","429","822","5,184","2,024","1,585","1,960","1,505","936","449","56","5"
"서울특별시 성북구 보문동(1129061000)","15,421","15,421","963","923","2,598","2,575","2,349","2,487","1,939","1,066","458","59","4"
"서울특별시 성북구 정릉제1동(1129062000)","18,263","18,263","1,386","1,718","2,250","2,592","3,122","2,844","2,277","1,354","639","79","2"
"서울특별시 성북구 정릉제2동(1129063000)","23,110","23,110","1,446","1,815","3,212","3,060","3,501","3,743","3,419","1,953","842","115","4"
"서울특별시 성북구 정릉제3동(1129064000)","15,091","15,091","570","927","3,080","1,820","1,828","2,337","2,289","1,425","707","105","3"
"서울특별시 성북구 정릉제4동(1129065000)","24,983","24,983","1,531","2,079","3,256","3,093","4,075","4,150","3,640","2,127","892","135","5"
"서울특별시 성북구 길음제1동(1129066000)","35,598","35,598","3,737","4,887","3,396","4,352","7,735","5,093","3,355","2,063","854","122","4"
"서울특별시 성북구 길음제2동(1129068500)","16,641","16,641","1,411","1,436","2,032","2,403","2,867","2,766","2,142","1,083","444","55","2"
"서울특별시 성북구 종암동(1129070500)","39,064","39,064","2,552","3,628","5,653","5,096","6,282","6,319","4,938","2,856","1,505","227","8"
"서울특별시 성북구 월곡제1동(1129071500)","26,519","26,519","1,956","2,565","3,031","3,529","4,508","4,190","3,656","2,100","880","104","0"
"서울특별시 성북구 월곡제2동(1129072500)","19,561","19,561","1,038","1,442","3,482","2,700","2,750","2,986","2,758","1,596","708","97","4"
"서울특별시 성북구 장위제1동(1129076000)","24,367","24,367","1,756","1,902","3,377","3,371","3,720","4,213","3,437","1,747","755","87","2"
"서울특별시 성북구 장위제2동(1129077000)","13,796","13,796","577","865","1,984","1,788","1,880","2,392","2,258","1,392","587","70","3"
"서울특별시 성북구 장위제3동(1129078000)","16,119","16,119","1,716","1,354","2,045","2,574","2,616","2,530","1,972","926","347","34","5"
"서울특별시 성북구 석관동(1129081000)","35,258","35,258","1,930","2,135","5,148","4,916","5,040","5,867","5,544","3,215","1,320","140","3"
"서울특별시 강북구 (1130500000)","301,430","301,430","14,585","21,170","41,696","37,470","44,716","51,628","47,091","29,411","12,179","1,436","48"
"서울특별시 강북구 삼양동(1130553400)","23,910","23,910","1,210","1,900","3,102","2,875","3,472","4,318","3,832","2,207","871","118","5"
"서울특별시 강북구 미아동(1130553500)","21,704","21,704","710","1,279","3,757","2,860","2,927","3,737","3,435","2,031","875","92","1"
"서울특별시 강북구 송중동(1130554500)","29,772","29,772","1,472","1,983","4,210","4,011","4,423","5,095","4,683","2,712","1,059","119","5"
"서울특별시 강북구 송천동(1130555500)","26,666","26,666","995","1,564","3,485","3,153","3,739","4,906","4,694","2,851","1,141","129","9"
"서울특별시 강북구 삼각산동(1130557500)","31,368","31,368","2,824","3,931","3,318","3,640","6,290","5,010","3,436","1,978","838","98","5"
